N(1h+4f, -2, [4,0,0,0,0], [0,0,0,0,0]) = 6
N(1h+4f, -2, [2,1,0,0,0], [0,0,0,0,0]) = 1
N(1h+4f, -2, [1,0,1,0,0], [0,0,0,0,0]) = 0
N(1h+4f, -2, [0,2,0,0,0], [0,0,0,0,0]) = 0
N(1h+4f, -2, [0,0,0,1,0], [0,0,0,0,0]) = 0
N(1h+4f, -2, [3,0,0,0,0], [1,0,0,0,0]) = 18
N(1h+4f, -2, [1,1,0,0,0], [1,0,0,0,0]) = 5
N(1h+4f, -2, [0,0,1,0,0], [1,0,0,0,0]) = 0
N(1h+4f, -2, [2,0,0,0,0], [2,0,0,0,0]) = 28
N(1h+4f, -2, [2,0,0,0,0], [0,1,0,0,0]) = 2
N(1h+4f, -2, [0,1,0,0,0], [2,0,0,0,0]) = 15
N(1h+4f, -2, [0,1,0,0,0], [0,1,0,0,0]) = 0
N(1h+4f, -2, [1,0,0,0,0], [3,0,0,0,0]) = 28
N(1h+4f, -2, [1,0,0,0,0], [1,1,0,0,0]) = 12
N(1h+4f, -2, [1,0,0,0,0], [0,0,1,0,0]) = 0
N(1h+4f, -2, [0,0,0,0,0], [4,0,0,0,0]) = 28
N(1h+4f, -2, [0,0,0,0,0], [2,1,0,0,0]) = 42
N(1h+4f, -2, [0,0,0,0,0], [1,0,1,0,0]) = 0
N(1h+4f, -2, [0,0,0,0,0], [0,2,0,0,0]) = 0
N(1h+4f, -2, [0,0,0,0,0], [0,0,0,1,0]) = 0
