N(2h+4f, -4, [4,0,0,0], [0,0,0,0]) = 12
N(2h+4f, -4, [2,1,0,0], [0,0,0,0]) = 0
N(2h+4f, -4, [1,0,1,0], [0,0,0,0]) = 0
N(2h+4f, -4, [0,2,0,0], [0,0,0,0]) = 0
N(2h+4f, -4, [0,0,0,1], [0,0,0,0]) = 0
N(2h+4f, -4, [3,0,0,0], [1,0,0,0]) = 40
N(2h+4f, -4, [1,1,0,0], [1,0,0,0]) = 0
N(2h+4f, -4, [0,0,1,0], [1,0,0,0]) = 0
N(2h+4f, -4, [2,0,0,0], [2,0,0,0]) = 80
N(2h+4f, -4, [2,0,0,0], [0,1,0,0]) = 0
N(2h+4f, -4, [0,1,0,0], [2,0,0,0]) = 0
N(2h+4f, -4, [0,1,0,0], [0,1,0,0]) = 0
N(2h+4f, -4, [1,0,0,0], [3,0,0,0]) = 120
N(2h+4f, -4, [1,0,0,0], [1,1,0,0]) = 0
N(2h+4f, -4, [1,0,0,0], [0,0,1,0]) = 0
N(2h+4f, -4, [0,0,0,0], [4,0,0,0]) = 140
N(2h+4f, -4, [0,0,0,0], [2,1,0,0]) = 0
N(2h+4f, -4, [0,0,0,0], [1,0,1,0]) = 0
N(2h+4f, -4, [0,0,0,0], [0,2,0,0]) = 0
N(2h+4f, -4, [0,0,0,0], [0,0,0,1]) = 0
