N(1h+4f, -3, [4,0,0,0], [0,0,0,0]) = 4
N(1h+4f, -3, [2,1,0,0], [0,0,0,0]) = 0
N(1h+4f, -3, [1,0,1,0], [0,0,0,0]) = 0
N(1h+4f, -3, [0,2,0,0], [0,0,0,0]) = 0
N(1h+4f, -3, [0,0,0,1], [0,0,0,0]) = 0
N(1h+4f, -3, [3,0,0,0], [1,0,0,0]) = 10
N(1h+4f, -3, [1,1,0,0], [1,0,0,0]) = 0
N(1h+4f, -3, [0,0,1,0], [1,0,0,0]) = 0
N(1h+4f, -3, [2,0,0,0], [2,0,0,0]) = 16
N(1h+4f, -3, [2,0,0,0], [0,1,0,0]) = 0
N(1h+4f, -3, [0,1,0,0], [2,0,0,0]) = 0
N(1h+4f, -3, [0,1,0,0], [0,1,0,0]) = 0
N(1h+4f, -3, [1,0,0,0], [3,0,0,0]) = 20
N(1h+4f, -3, [1,0,0,0], [1,1,0,0]) = 0
N(1h+4f, -3, [1,0,0,0], [0,0,1,0]) = 0
N(1h+4f, -3, [0,0,0,0], [4,0,0,0]) = 20
N(1h+4f, -3, [0,0,0,0], [2,1,0,0]) = 0
N(1h+4f, -3, [0,0,0,0], [1,0,1,0]) = 0
N(1h+4f, -3, [0,0,0,0], [0,2,0,0]) = 0
N(1h+4f, -3, [0,0,0,0], [0,0,0,1]) = 0
