N(1h+4f, -4, [4,0,0,0], [0,0,0,0]) = 1
N(1h+4f, -4, [2,1,0,0], [0,0,0,0]) = 0
N(1h+4f, -4, [1,0,1,0], [0,0,0,0]) = 0
N(1h+4f, -4, [0,2,0,0], [0,0,0,0]) = 0
N(1h+4f, -4, [0,0,0,1], [0,0,0,0]) = 0
N(1h+4f, -4, [3,0,0,0], [1,0,0,0]) = 2
N(1h+4f, -4, [1,1,0,0], [1,0,0,0]) = 0
N(1h+4f, -4, [0,0,1,0], [1,0,0,0]) = 0
N(1h+4f, -4, [2,0,0,0], [2,0,0,0]) = 3
N(1h+4f, -4, [2,0,0,0], [0,1,0,0]) = 0
N(1h+4f, -4, [0,1,0,0], [2,0,0,0]) = 0
N(1h+4f, -4, [0,1,0,0], [0,1,0,0]) = 0
N(1h+4f, -4, [1,0,0,0], [3,0,0,0]) = 4
N(1h+4f, -4, [1,0,0,0], [1,1,0,0]) = 0
N(1h+4f, -4, [1,0,0,0], [0,0,1,0]) = 0
N(1h+4f, -4, [0,0,0,0], [4,0,0,0]) = 5
N(1h+4f, -4, [0,0,0,0], [2,1,0,0]) = 0
N(1h+4f, -4, [0,0,0,0], [1,0,1,0]) = 0
N(1h+4f, -4, [0,0,0,0], [0,2,0,0]) = 0
N(1h+4f, -4, [0,0,0,0], [0,0,0,1]) = 0
